Molecule Name	Molecule Structure	Molecule Formula	Precursor charge	Precursor m/z (native)	Precursor m/z (reduced)	Product Name	Product Formula	Product m/z (native)	Product m/z (reduced)	Product Charge
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	H(2)X(1)	C17H28N0O14	457.1557356082	457.1557356082	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)F(1)N(1)	C22H36N2O14	571.2350438754	573.2506938754	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	N(1)H(2)	C20H33N1O15	528.192849396	528.192849396	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	N(1)H(1)X(1)	C19H31N1O14	498.1822847097	498.1822847097	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)F(1)N(1)H(1)	C28H46N2O19	733.2878673069	735.3035173069	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)N(1)H(2)	C28H46N2O20	749.2827819290001	751.298431929	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)N(1)H(1)X(1)	C27H44N2O19	719.2722172427	721.2878672427	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	N(1)H(2)X(1)	C25H41N1O19	660.2351081412	660.2351081412	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)F(1)N(1)H(2)	C34H56N2O24	895.3406907384001	897.3563407383999	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)F(1)N(1)H(1)X(1)	C33H54N2O23	865.3301260521	867.3457760521	1
2_2_1_0_0_1_a	(J(F)(N(H(H)(X))))	C39H64O28N2	1	1027.3829580000001	1029.3986080000002	J(1)N(1)H(2)X(1)	C33H54N2O24	881.3250406742001	883.3406906742	1
4_2_0_0_a	(J(N(H(H(H(H))))))	C40H66O30N2	1	1073.388438	1075.404088	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
4_2_0_0_a	(J(N(H(H(H(H))))))	C40H66O30N2	1	1073.388438	1075.404088	J(1)	C8H13N1O5	222.097762533	224.113412533	1
